Year,Player Name,Team Name,Matches,Runs,Innings,Strike Rate,Batting Average,Highest Score,Average,Centuries,Half Centuries,Ducks
2021,T Shamsi,Rajasthan Royals,1,1,1,2,2*,-,50,-,-,-
2021,V Shankar,Sunrisers Hyderabad,7,5,-,58,28,11.6,111.53,-,-,-
2021,Shakib Al Hasan,Kolkata Knight Riders,8,6,1,47,26,9.4,97.91,-,-,2
2021,I Sharma,Delhi Capitals,3,-,-,-,-,-,-,-,-,-
2021,RG Sharma,Mumbai Indians,13,13,-,381,63,29.3,127.42,-,1,-
2021,PP Shaw,Delhi Capitals,15,15,-,479,82,31.93,159.13,-,4,-
2021,Shivam Mavi,Kolkata Knight Riders,9,2,-,25,20,12.5,125,-,-,-
2021,Shubman Gill,Kolkata Knight Riders,17,17,-,478,57,28.11,118.9,-,3,1
2021,SPD Smith,Delhi Capitals,8,7,1,152,39,25.33,112.59,-,-,-
2021,TG Southee,Kolkata Knight Riders,3,1,-,3,3,3,60,-,-,-
2021,MP Stoinis,Delhi Capitals,10,7,3,89,27*,22.25,123.61,-,-,1
2021,BA Stokes,Rajasthan Royals,1,1,-,-,-,-,-,-,-,1
2021,J Suchith,Sunrisers Hyderabad,2,1,1,14,14*,-,233.33,-,-,-
2021,R Tewatia,Rajasthan Royals,14,11,1,155,44,15.5,105.44,-,-,-
2021,SN Thakur,Chennai Super Kings,16,4,2,5,3*,2.5,100,-,-,1
2021,SS Tiwary,Mumbai Indians,5,4,2,115,50*,57.5,118.55,-,1,-
2021,RA Tripathi,Kolkata Knight Riders,17,16,2,397,74*,28.35,140.28,-,2,-
2021,Umran Malik,Sunrisers Hyderabad,3,-,-,-,-,-,-,-,-,-
2021,JD Unadkat,Rajasthan Royals,6,3,1,41,24,20.5,141.37,-,-,-
2021,RV Uthappa,Chennai Super Kings,4,4,-,115,63,28.75,136.9,-,1,-
2021,CV Varun,Kolkata Knight Riders,17,3,2,2,2*,2,50,-,-,1
2021,Virat Singh,Sunrisers Hyderabad,3,2,-,15,11,7.5,57.69,-,-,-
2021,M Vohra,Rajasthan Royals,4,4,-,42,14,10.5,107.69,-,-,-
2021,DA Warner,Sunrisers Hyderabad,8,8,-,195,57,24.37,107.73,-,2,1
2021,Washington Sundar,Royal Challengers Bangalore,6,4,-,31,10,7.75,65.95,-,-,-
2021,KS Williamson,Sunrisers Hyderabad,10,10,4,266,66*,44.33,113.19,-,2,-
2021,CR Woakes,Delhi Capitals,3,1,1,15,15*,-,136.36,-,-,-
2021,K Yadav,Rajasthan Royals,1,1,1,-,0*,-,-,-,-,-
2021,J Yadav,Mumbai Indians,5,3,1,34,23,17,130.76,-,-,-
2021,Lalit Yadav,Delhi Capitals,7,5,3,68,22*,34,93.15,-,-,1
2021,SA Yadav,Mumbai Indians,14,14,-,317,82,22.64,143.43,-,2,1
,,,,,,,,,,,,
2022,PW Hasaranga,Royal Challengers Bangalore,16,7,-,38,18,5.42,88.37,-,-,2
2022,VR Aaron,Gujarat Titans,2,-,-,-,-,-,-,-,-,-
2022,SA Abbott,Sunrisers Hyderabad,1,1,-,7,7,7,140,-,-,-
2022,Abdul Samad,Sunrisers Hyderabad,2,2,-,4,4,2,57.14,-,-,1
2022,Abhishek Sharma,Sunrisers Hyderabad,14,14,-,426,75,30.42,133.12,-,2,1
2022,MA Agarwal,Punjab Kings,13,12,-,196,52,16.33,122.5,-,1,1
2022,KK Ahmed,Delhi Capitals,10,2,-,-,-,-,-,-,-,2
2022,Akash Deep,Royal Challengers Bangalore,5,1,-,-,-,-,-,-,-,1
2022,MM Ali,Chennai Super Kings,10,10,-,244,93,24.4,137.85,-,1,2
2022,FA Allen,Mumbai Indians,1,1,-,8,8,8,114.28,-,-,-
2022,Aman Hakim Khan,Kolkata Knight Riders,1,1,-,5,5,5,166.66,-,-,-
2022,Anmolpreet Singh,Mumbai Indians,2,2,-,13,8,6.5,100,-,-,-
2022,Anuj Rawat,Royal Challengers Bangalore,8,8,-,129,66,16.12,109.32,-,1,3
2022,VG Arora,Punjab Kings,5,4,2,5,2*,2.5,38.46,-,-,1
2022,Arshdeep Singh,Punjab Kings,14,6,3,21,10*,7,72.41,-,-,2
2022,M Ashwin,Mumbai Indians,8,5,2,12,6,4,85.71,-,-,1
2022,R Ashwin,Rajasthan Royals,17,12,5,191,50,27.28,141.48,-,1,-
2022,Avesh Khan,Lucknow Super Giants,13,4,3,22,12,22,169.23,-,-,-
2022,A Badoni,Lucknow Super Giants,13,11,3,161,54,20.12,123.84,-,1,1
2022,JM Bairstow,Punjab Kings,11,11,-,253,66,23,144.57,-,2,-
2022,Basil Thampi,Mumbai Indians,5,-,-,-,-,-,-,-,-,-
2022,RA Bawa,Punjab Kings,2,2,-,11,11,5.5,78.57,-,-,1
2022,KS Bharat,Delhi Capitals,2,2,-,8,8,4,114.28,-,-,1
2022,SW Billings,Kolkata Knight Riders,8,8,1,169,36,24.14,122.46,-,-,-
2022,TA Boult,Rajasthan Royals,16,8,6,40,17*,20,137.93,-,-,-
2022,DJ Bravo,Chennai Super Kings,10,6,4,23,12,11.5,95.83,-,-,1
2022,D Brevis,Mumbai Indians,7,7,-,161,49,23,142.47,-,-,-
2022,JJ Bumrah,Mumbai Indians,14,6,4,-,0*,-,-,-,-,2
2022,JC Buttler,Rajasthan Royals,17,17,2,863,116,57.53,149.05,4,4,-
2022,YS Chahal,Rajasthan Royals,17,2,1,5,5,5,62.5,-,-,-
2022,RD Chahar,Punjab Kings,13,8,2,77,25*,12.83,113.23,-,-,2
2022,PVD Chameera,Lucknow Super Giants,12,8,4,43,17,10.75,153.57,-,-,2
2022,DP Conway,Chennai Super Kings,7,7,1,252,87,42,145.66,-,3,1
2022,NM Coulter-Nile,Rajasthan Royals,1,1,1,1,1*,-,50,-,-,-
2022,PJ Cummins,Kolkata Knight Riders,5,5,1,63,56*,15.75,262.5,-,1,2
2022,TH David,Mumbai Indians,8,8,3,186,46,37.2,216.27,-,-,-
2022,Q de Kock,Lucknow Super Giants,15,15,1,508,140*,36.28,148.97,1,3,-
2022,TU Deshpande,Chennai Super Kings,2,-,-,-,-,-,-,-,-,-
2022,R Dhawan,Punjab Kings,6,4,2,37,21*,18.5,92.5,-,-,-
