Year,Player Name,Team Name,Mat,Inns,Balls,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St
2011,CH Gayle,Royal Challengers Bangalore,12,12,216,-,244,8,3/21,30.50,6.77,27,-,-,2,-
2011,AC Gilchrist,Kings XI Punjab,14,-,0,-,-,-,-,0.00,-,-,-,-,9,3
2011,Y Gnaneswara Rao,Kochi Tuskers Kerala,2,1,6,-,7,-,-,0.00,7,-,-,-,2,-
2011,RV Gomez,Kochi Tuskers Kerala,11,8,90,1,124,5,2/14,24.80,8.26,18,-,-,1,-
2011,MS Gony,Deccan Chargers,3,3,54,-,85,4,3/31,21.25,9.44,13.5,-,-,-,-
2011,SP Goswami,Kolkata Knight Riders,5,-,0,-,-,-,-,0.00,-,-,-,-,4,1
2011,BJ Haddin,Kolkata Knight Riders,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-
2011,Harbhajan Singh,Mumbai Indians,15,15,318,1,370,14,5/18,26.42,6.98,22.7,1,-,2,-
2011,Harmeet Singh,Deccan Chargers,2,2,42,-,53,3,2/27,17.66,7.57,14,-,-,-,-
2011,Harpreet Singh,Pune Warriors,2,-,0,-,-,-,-,0.00,-,-,-,-,2,-
2011,RJ Harris,Kings XI Punjab,13,13,282,1,382,16,3/28,23.87,8.12,17.6,-,-,8,-
2011,BJ Hodge,Kochi Tuskers Kerala,14,4,66,-,77,7,4/13,11.00,7,9.4,-,-,1,-
2011,JR Hopes,Delhi Daredevils,10,9,192,-,272,7,1/25,38.85,8.5,27.4,-,-,3,-
2011,DJ Hussey,Kings XI Punjab,8,2,18,-,38,1,1/19,38.00,12.66,18,-,-,6,-
2011,MEK Hussey,Chennai Super Kings,14,-,0,-,-,-,-,0.00,-,-,-,-,6,-
2011,CA Ingram,Delhi Daredevils,3,-,0,-,-,-,-,0.00,-,-,-,-,-,-
2011,Iqbal Abdulla,Kolkata Knight Riders,15,15,300,-,305,16,3/24,19.06,6.1,18.7,-,-,3,-
